name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
which features a microwave and electric stove.,Portland Downtown,Private room,1,Private room in rental unit,"\"\"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"TV with standard cable\"\"& \"\"Washer\"\"& \"\"Wifi\"\"& \"\"Long term stays allowed\"\"\"",$70.00,True
"Family Home, Walk to Everything (30+ day rentals)",Alameda,Entire home/apt,7,Entire residential home,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"\"",$220.00,FALSE
Waterfront Pearl District Condo!,Old Town/Chinatown,Entire home/apt,6,Entire condominium (condo),"\"\"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Lake access\"\"& \"\"Fire pit\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shared pool\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Shared hot tub\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Air conditioning\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$145.00,True
"2-Bedroom, 2 office in close-in historic Ladd's",Hosford-Abernethy,Entire home/apt,4,Entire residential home,"\"\"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Bed linens\"\"& \"\"Heating\"\"& \"\"Free street parking\"\"& \"\"Dedicated workspace\"\"& \"\"Stove\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$170.00,FALSE
Portland House with Sunset View,Forest Park,Entire home/apt,5,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Private hot tub\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$250.00,FALSE
Elegant Downtown Condo with City Views & Parking,Goose Hollow,Entire home/apt,3,Entire condominium (condo),"\"\"\"Refrigerator\"\"& \"\"Free parking on premises\"\"& \"\"Kitchen\"\"& \"\"Security cameras on property\"\"& \"\"Washer\"\"& \"\"Hangers\"\"& \"\"Bathtub\"\"& \"\"Smoke alarm\"\"& \"\"Microwave\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Air conditioning\"\"& \"\"Oven\"\"& \"\"Freezer\"\"& \"\"Long term stays allowed\"\"& \"\"Elevator\"\"& \"\"Dishwasher\"\"& \"\"Heating\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"\"",$180.00,FALSE
Resort Living in Million $ Home,Northwest Heights,Private room,2,Private room in residential home,"\"\"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Heating\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"\"",$139.00,True
Charming Hawthorne Victorian,Sunnyside,Entire home/apt,4,Entire residential home,"\"\"\"Indoor fireplace\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"\"",$300.00,True
Bright Studio in Historic Brooklyn (Inner SE),Brooklyn Action Corps,Entire home/apt,1,Entire guest suite,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"TV with Netflix\"\"& \"\"Free washer \\u2013 In unit\"\"& \"\"Fire extinguisher\"\"\"",$70.00,FALSE
Foodies Paradise - Hawthorne Southeast Portland,Sunnyside,Entire home/apt,3,Entire guesthouse,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Extra pillows and blankets\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Bed linens\"\"& \"\"Free washer \\u2013 In unit\"\"& \"\"Fire extinguisher\"\"\"",$48.00,FALSE
